Text,Date,search_term
Anti Racism Vaccines? ,06/02/2020,vaccine
There is no vaccine for dumb.,06/02/2020,vaccine
Bank of America is promising a billion for vaccine clinics in black communities ,06/02/2020,vaccine
Moderna Therapeutics drove their stock values through the roof by announcing that they had promising first trials an a vaccine. Moderna has never brought a product to market. ,06/02/2020,vaccine
Hey Harvard also produced Jared Kushner and Steve Bannon. The Crimson robe is no vaccine against intolerance,06/02/2020,vaccine
"The vaccine has no timeline, and the therapeutics are rubber bullets and tear gas. ",06/02/2020,vaccine
It's unbelieve you're completely ignoring all negativity today from you horrendous actions yesterday. Lying to americans yet again about vaccines? Your repeated ignorance of what's real &amp; what's fantasy thankfully is showing the country how utterly unfit you are to be reelected!,06/02/2020,vaccine
DO NOT TAKE THIS VACCINE! ,06/02/2020,vaccine
Fuck a vaccine ,06/02/2020,vaccine
No WAY am getting a vaccine. Not after Gates killed people with his vaccine and Fauci is buddies with Gates. Fuck that,06/02/2020,vaccine
"An investor panel @business with 3 female panellists out of 4 incl. CEOs of @FTI_Global and @BMO. Consensus of 3 CEOs is active management &amp; stock selection, strong B/S, market too optimistic on vaccine and Fed-support. ",06/02/2020,vaccine
Injecting bleach and shooting tear gas at protestors so you can hold a Bible you’ve never read in front of a church you don’t go to is not a vaccine.,06/02/2020,vaccine
"Can’t forget about these damn vaccines, BLM yes, just remember there is an agenda and all the distractions will continue until the next BS phase strategically planned out for 2020, just look @the patterns... ",06/02/2020,vaccine
"Remember, No One Is Coming to Save Us: Eventually doctors will develop a coronavirus vaccine, but black people will continue to wait for a cure for racism. By Roxanne Gay. (Google it and read the entire piece)",06/02/2020,vaccine
Anddddd.....you can all keep your vaccines!,06/02/2020,vaccine
The local Chase social distancing line markers even to get my money out. Seems like the way of the future throughout our lives at least until a working vaccine. Can we do a line share 6 feet apart? We'll find a… https://www.instagram.com/p/CA77QdyJEfM/?igshid=nt9y2s3defip,06/02/2020,vaccine
TRUMP: WE ARE MAKING FASTER-THAN-EXPECTED PROGRESS IN DEVELOPING VACCINES AGAINST MERS AND THERE IS GOOD NEWS ON THE WAY,06/02/2020,vaccine
If you mean the vaccine to rid this country of a virus... You. Then that absolutely is good news,06/02/2020,vaccine
So what’s with the vaccines??? My whole ship got vaccinated within an hour. WHY??,06/02/2020,vaccine
